Country,Date,Sentiment Score,Positive,Negative,ratio
AE,23-03-2020,0.113678023,8,25,0.32
AE,30-03-2020,0.144240704,16,27,0.592592593
AE,06-04-2020,0.121101641,10,24,0.416666667
AE,13-04-2020,0.231718205,17,15,1.133333333
AE,20-04-2020,0.161863952,18,14,1.285714286
AE,27-04-2020,0.165289843,17,28,0.607142857
AE,04-05-2020,0.199584617,25,34,0.735294118
AE,11-05-2020,0.167580144,17,27,0.62962963
AE,18-05-2020,0.137544888,13,22,0.590909091
AE,25-05-2020,0.122100925,17,47,0.361702128
AE,01-06-2020,0.14925796,20,33,0.606060606
AE,08-06-2020,0.158928262,20,32,0.625
AE,15-06-2020,0.137416594,16,34,0.470588235
AE,22-06-2020,0.211280738,20,21,0.952380952
AE,29-06-2020,0.190965584,22,21,1.047619048
AE,06-07-2020,0.154224599,13,21,0.619047619
AE,13-07-2020,0.149495935,18,24,0.75
AE,20-07-2020,0.129148425,10,17,0.588235294
AE,27-07-2020,0.197812239,17,21,0.80952381
AE,03-08-2020,0.128446571,19,22,0.863636364
AE,10-08-2020,0.184120618,8,9,0.888888889
AE,17-08-2020,0.169824811,17,23,0.739130435
AE,24-08-2020,0.153379239,14,26,0.538461538
AE,31-08-2020,0.208595261,24,23,1.043478261
AE,07-09-2020,0.220196783,24,20,1.2
AE,14-09-2020,0.221799134,14,11,1.272727273
AE,21-09-2020,0.150577201,4,7,0.571428571
AE,28-09-2020,0.279680736,7,7,1
AE,05-10-2020,0.180357143,7,7,1
AE,12-10-2020,0.077623118,8,34,0.235294118
AE,19-10-2020,-0.012727865,4,28,0.142857143
AE,26-10-2020,0.086675084,9,18,0.5
AE,02-11-2020,0.229079254,6,7,0.857142857
AE,09-11-2020,0.185876623,4,7,0.571428571
AE,23-11-2020,0.18125,2,2,1
AF,04-05-2020,0.21875,1,1,1
AG,17-08-2020,0.098611111,1,5,0.2
AG,31-08-2020,0.151388889,1,1,1
AL,25-05-2020,0.065740741,1,1,1
AO,04-05-2020,0.166666667,2,1,2
AQ,27-04-2020,0.09375,1,3,0.333333333
AQ,04-05-2020,0.208333334,1,1,1
AQ,18-05-2020,0.114583334,1,1,1
AR,30-03-2020,0.10952381,1,2,0.5
AR,27-04-2020,0.094633838,2,4,0.5
AR,04-05-2020,0.094300144,4,17,0.235294118
AR,11-05-2020,0.1375,5,13,0.384615385
AR,18-05-2020,0.037436869,2,16,0.125
AR,25-05-2020,0.166078102,5,15,0.333333333
AR,01-06-2020,0.093939394,3,13,0.230769231
AR,08-06-2020,0.048888889,2,13,0.153846154
AR,15-06-2020,0.013015791,3,19,0.157894737
AR,22-06-2020,0.178586071,9,8,1.125
AR,29-06-2020,0.057511273,3,5,0.6
AR,06-07-2020,0.116774892,2,5,0.4
AR,13-07-2020,0.088219697,1,9,0.111111111
AR,20-07-2020,0.176041667,2,2,1
AR,27-07-2020,0.112099359,2,11,0.181818182
AR,17-08-2020,0.11037984,3,9,0.333333333
AR,24-08-2020,0.219629629,3,7,0.428571429
AR,31-08-2020,0.125,1,3,0.333333333
AR,14-09-2020,0.231111111,2,1,2
AR,28-09-2020,0.2,1,2,0.5
AR,12-10-2020,0.053125,2,6,0.333333333
AR,19-10-2020,0.064285715,2,2,1
AR,09-11-2020,0.0375,1,3,0.333333333
AT,23-03-2020,0.157986111,3,5,0.6
AT,30-03-2020,0.103461199,3,6,0.5
AT,13-04-2020,0.154513889,6,3,2
AT,20-04-2020,0.099013799,1,6,0.166666667
AT,27-04-2020,0.112554112,3,4,0.75
AT,04-05-2020,0.037300108,5,20,0.25
AT,11-05-2020,0.131929363,3,6,0.5
AT,18-05-2020,0.019081633,1,6,0.166666667
AT,25-05-2020,0.006599327,2,13,0.153846154
AT,01-06-2020,0.179761905,4,8,0.5
AT,08-06-2020,0.055925926,7,11,0.636363636
AT,15-06-2020,0.044318182,4,18,0.222222222
AT,22-06-2020,0.098402477,3,9,0.333333333
AT,29-06-2020,0.062037037,2,7,0.285714286
AT,06-07-2020,0.054492845,1,5,0.2
AT,13-07-2020,0.131186869,3,6,0.5
AT,20-07-2020,0.126428571,1,4,0.25
AT,27-07-2020,0.027662037,1,5,0.2
AT,03-08-2020,0.141784722,4,6,0.666666667
AT,10-08-2020,0.094236111,1,5,0.2
AT,17-08-2020,0.119622507,4,9,0.444444444
AT,24-08-2020,0.289027778,5,5,1
AT,31-08-2020,0.095899471,4,14,0.285714286
AT,07-09-2020,0.141583525,1,7,0.142857143
AT,14-09-2020,-0.053601491,1,8,0.125
AT,21-09-2020,-0.015637401,1,7,0.142857143
AT,26-10-2020,0.085512265,2,13,0.153846154
AT,02-11-2020,0.089393939,4,7,0.571428571
AT,09-11-2020,0.166666667,3,2,1.5
AU,23-03-2020,0.100280313,10,26,0.384615385
AU,30-03-2020,0.106217399,27,58,0.465517241
AU,06-04-2020,0.139957167,17,30,0.566666667
AU,13-04-2020,0.199969896,16,17,0.941176471
AU,20-04-2020,0.15147433,18,39,0.461538462
AU,27-04-2020,0.168694151,36,64,0.5625
AU,04-05-2020,0.109084578,66,167,0.395209581
AU,11-05-2020,0.130678485,72,147,0.489795918
AU,18-05-2020,0.125883455,58,104,0.557692308
AU,25-05-2020,0.122833673,59,124,0.475806452
AU,01-06-2020,0.13449639,62,112,0.553571429
AU,08-06-2020,0.113897124,42,96,0.4375
AU,15-06-2020,0.141649347,56,101,0.554455446
AU,22-06-2020,0.168288888,62,102,0.607843137
AU,29-06-2020,0.173720865,55,74,0.743243243
AU,06-07-2020,0.12576946,59,101,0.584158416
AU,13-07-2020,0.116185673,109,261,0.417624521
AU,20-07-2020,0.165292255,76,121,0.628099174
AU,27-07-2020,0.160060464,82,143,0.573426573
AU,03-08-2020,0.167321427,111,168,0.660714286
AU,10-08-2020,0.147214005,32,54,0.592592593
AU,17-08-2020,0.139028228,112,181,0.61878453
AU,24-08-2020,0.139870367,94,187,0.502673797
AU,31-08-2020,0.152384323,87,154,0.564935065
AU,07-09-2020,0.133222857,102,155,0.658064516
AU,14-09-2020,0.178958937,43,70,0.614285714
AU,21-09-2020,0.13192468,27,55,0.490909091
AU,28-09-2020,0.086944475,23,58,0.396551724
AU,05-10-2020,0.114131975,20,53,0.377358491
AU,12-10-2020,0.181103348,48,88,0.545454545
AU,19-10-2020,0.145152423,42,120,0.35
AU,26-10-2020,0.117626542,44,103,0.427184466
AU,02-11-2020,0.244246837,45,38,1.184210526
AU,09-11-2020,0.17696069,21,22,0.954545455
AU,16-11-2020,0.114680252,24,49,0.489795918
AU,23-11-2020,0.164799783,9,19,0.473684211
AW,23-03-2020,0.3125,1,1,1
AW,04-05-2020,0.042382155,1,2,0.5
AW,25-05-2020,0.366666667,1,1,1
AZ,27-07-2020,0.125,1,1,1
BB,30-03-2020,0.418518519,2,1,2
BB,20-04-2020,0.096180556,1,1,1
BB,27-04-2020,0.180952381,1,1,1
BB,04-05-2020,0.213192415,4,6,0.666666667
BB,11-05-2020,0.153425325,2,3,0.666666667
BB,25-05-2020,0.274738005,3,3,1
BB,01-06-2020,0.234848485,1,1,1
BB,15-06-2020,0.268087121,8,3,2.666666667
BB,06-07-2020,0.233333334,1,1,1
BB,03-08-2020,0.092956349,2,5,0.4
BB,10-08-2020,0.416666667,2,1,2
BB,14-09-2020,0.157142857,1,1,1
BB,02-11-2020,0.1,1,2,0.5
BD,23-03-2020,0.04875,1,4,0.25
BD,30-03-2020,-0.020694444,1,9,0.111111111
BD,13-04-2020,0.14,1,4,0.25
BD,04-05-2020,0.207925408,5,8,0.625
BD,11-05-2020,0.101747016,2,9,0.222222222
BD,18-05-2020,0.221238095,1,4,0.25
BD,25-05-2020,0.126057654,4,7,0.571428571
BD,01-06-2020,0.078958333,1,9,0.111111111
BD,08-06-2020,0.245555556,3,2,1.5
BD,15-06-2020,-0.010933196,1,10,0.1
BD,22-06-2020,0.125027056,4,10,0.4
BD,29-06-2020,0.020637175,1,10,0.1
BD,06-07-2020,-0.046704546,2,8,0.25
BD,13-07-2020,0.099622243,7,14,0.5
BD,27-07-2020,-0.000784632,2,12,0.166666667
BD,03-08-2020,0.071428571,1,6,0.166666667
BD,17-08-2020,0.089051347,2,13,0.153846154
BD,24-08-2020,0.013920454,1,7,0.142857143
BD,31-08-2020,0.135909091,1,4,0.25
BD,05-10-2020,0.175,5,3,1.666666667
BD,19-10-2020,0.354166666,2,2,1
BD,09-11-2020,0.330902778,2,2,1
BD,16-11-2020,0.2925,3,2,1.5
BE,23-03-2020,0.04469697,1,11,0.090909091
BE,30-03-2020,0.09200487,5,9,0.555555556
BE,06-04-2020,0.01344697,3,6,0.5
BE,13-04-2020,0.074884562,9,30,0.3
BE,20-04-2020,-0.02028114,4,19,0.210526316
BE,27-04-2020,-0.053541667,2,10,0.2
BE,04-05-2020,0.234230074,8,10,0.8
BE,11-05-2020,0.142334786,10,21,0.476190476
BE,18-05-2020,0.10726614,9,14,0.642857143
BE,25-05-2020,0.051360683,5,12,0.416666667
BE,01-06-2020,0.119033876,8,13,0.615384615
BE,08-06-2020,0.037052128,2,18,0.111111111
BE,15-06-2020,0.186632395,10,11,0.909090909
BE,22-06-2020,0.220670956,9,8,1.125
BE,29-06-2020,0.299974748,6,5,1.2
BE,06-07-2020,0.025942761,1,8,0.125
BE,13-07-2020,0.172996032,5,6,0.833333333
BE,20-07-2020,-0.017460317,1,5,0.2
BE,27-07-2020,0.146319444,5,10,0.5
BE,03-08-2020,0.111488213,6,14,0.428571429
BE,17-08-2020,0.175549581,6,10,0.6
BE,24-08-2020,0.192199675,7,9,0.777777778
BE,31-08-2020,0.198407888,7,8,0.875
BE,07-09-2020,0.213481241,5,2,2.5
BE,14-09-2020,0.056550084,1,5,0.2
BE,28-09-2020,0.246465774,3,1,3
BE,12-10-2020,0.215113636,8,12,0.666666667
BE,19-10-2020,0.314160748,8,4,2
BE,26-10-2020,-0.045265152,2,8,0.25
BE,02-11-2020,0.03900463,4,14,0.285714286
BE,09-11-2020,0.020881543,1,10,0.1
BE,16-11-2020,0.15,2,4,0.5
BG,06-04-2020,0.1,1,1,1
BG,15-06-2020,0.2765625,1,1,1
BG,07-09-2020,0.208333334,1,1,1
BG,28-09-2020,0.401010101,1,1,1
BG,16-11-2020,0.366666667,2,1,2
BH,04-05-2020,0.227777778,1,2,0.5
BH,25-05-2020,0.341666667,3,1,3
BH,01-06-2020,0.185,2,3,0.666666667
BH,15-06-2020,0.125396825,3,4,0.75
BH,22-06-2020,0.010622711,1,6,0.166666667
BH,20-07-2020,0.0375,2,16,0.125
BH,24-08-2020,0.5,1,1,1
BH,31-08-2020,0.175,1,2,0.5
BJ,23-03-2020,0.226704546,1,1,1
BJ,20-04-2020,0.215909091,1,1,1
BL,22-06-2020,0.133333333,1,2,0.5
BM,27-04-2020,0.16875,1,1,1
BM,04-05-2020,0.233333334,1,1,1
BM,06-07-2020,0.05,1,3,0.333333333
BN,01-06-2020,0.219605655,2,2,1
BN,22-06-2020,0.067916667,1,2,0.5
BO,01-06-2020,0.1625,1,1,1
BO,24-08-2020,0.25,1,1,1
BO,05-10-2020,0.5,2,1,2
BR,23-03-2020,0.185,10,10,1
BR,30-03-2020,0.254491964,12,17,0.705882353
BR,06-04-2020,0.103626543,9,18,0.5
BR,13-04-2020,0.017539526,1,45,0.022222222
BR,20-04-2020,-0.046736111,1,19,0.052631579
BR,27-04-2020,-0.205902778,1,7,0.142857143
BR,04-05-2020,0.091081818,6,19,0.315789474
BR,11-05-2020,0.015,2,13,0.153846154
BR,25-05-2020,0.122072631,5,10,0.5
BR,01-06-2020,0.104791667,3,13,0.230769231
BR,15-06-2020,0.220486111,8,10,0.8
BR,22-06-2020,0.071379612,7,14,0.5
BR,29-06-2020,0.063822115,2,11,0.181818182
BR,06-07-2020,0.093767677,4,6,0.666666667
BR,13-07-2020,0.170657081,9,12,0.75
BR,20-07-2020,0.083489305,4,13,0.307692308
BR,27-07-2020,0.12475304,6,13,0.461538462
BR,03-08-2020,0.144594301,2,12,0.166666667
BR,10-08-2020,0.117708333,2,4,0.5
BR,17-08-2020,0.007308201,2,15,0.133333333
BR,24-08-2020,0.119444444,4,11,0.363636364
BR,31-08-2020,0.054142992,4,20,0.2
BR,07-09-2020,0.056468141,4,12,0.333333333
BR,14-09-2020,0.228118687,4,6,0.666666667
BR,21-09-2020,0.15,2,1,2
BR,05-10-2020,0.158451704,4,4,1
BR,12-10-2020,0.015,2,8,0.25
BR,02-11-2020,0.378125,2,3,0.666666667
BR,09-11-2020,0.021717172,1,8,0.125
BR,16-11-2020,0.115625,1,5,0.2
BS,06-04-2020,0.011458334,1,3,0.333333333
BS,11-05-2020,0.268181818,1,1,1
BS,18-05-2020,0.418181818,1,1,1
BS,25-05-2020,0.121111111,1,2,0.5
BS,01-06-2020,0.249431818,1,1,1
BS,15-06-2020,0.094285714,1,6,0.166666667
BS,22-06-2020,0.203930713,3,5,0.6
BS,29-06-2020,0.0875,1,3,0.333333333
BS,20-07-2020,0.371562851,6,3,2
BS,27-07-2020,0.012224928,4,7,0.571428571
BS,10-08-2020,0.338333333,4,1,4
BS,17-08-2020,0.045805556,1,9,0.111111111
BS,24-08-2020,0.190082605,3,4,0.75
BS,31-08-2020,0.093827161,3,6,0.5
BS,26-10-2020,0.108181818,1,4,0.25
BS,02-11-2020,0.3125,2,2,1
BT,11-05-2020,0.137012987,1,1,1
BT,25-05-2020,0.424747475,3,1,3
BT,01-06-2020,0.43219697,2,1,2
BT,08-06-2020,0.278125,2,2,1
BT,15-06-2020,0.069901515,1,4,0.25
BT,22-06-2020,0.363888889,2,1,2
BT,20-07-2020,0.455952381,4,1,4
BT,17-08-2020,0.345171958,10,4,2.5
BT,24-08-2020,0.399814815,9,3,3
BT,31-08-2020,0.436931818,6,2,3
BT,14-09-2020,0.320791246,5,4,1.25
BW,20-04-2020,-0.003125,1,3,0.333333333
BW,11-05-2020,0.0378,1,4,0.25
BW,18-05-2020,0.028282828,3,3,1
BW,01-06-2020,-0.044722222,1,3,0.333333333
BW,15-06-2020,0.082916667,2,2,1
BW,22-06-2020,0.436111111,3,1,3
BZ,03-08-2020,0.222222222,1,1,1
BZ,24-08-2020,0.19888468,2,1,2
BZ,31-08-2020,0.071180555,1,1,1
BZ,12-10-2020,0.07202381,2,2,1
CA,23-03-2020,0.166880623,30,41,0.731707317
CA,30-03-2020,0.119061703,47,78,0.602564103
CA,06-04-2020,0.172994131,36,45,0.8
CA,13-04-2020,0.132561328,25,58,0.431034483
CA,20-04-2020,0.143648889,38,93,0.408602151
CA,27-04-2020,0.116741149,83,202,0.410891089
CA,04-05-2020,0.110008261,286,669,0.427503737
CA,11-05-2020,0.105830884,224,570,0.392982456
CA,18-05-2020,0.138744802,168,343,0.489795918
CA,25-05-2020,0.125299924,230,540,0.425925926
CA,01-06-2020,0.128911082,284,567,0.500881834
CA,08-06-2020,0.117886448,216,481,0.449064449
CA,15-06-2020,0.118218836,270,646,0.417956656
CA,22-06-2020,0.119224065,268,568,0.471830986
CA,29-06-2020,0.120675601,180,455,0.395604396
CA,06-07-2020,0.140304455,163,341,0.478005865
CA,13-07-2020,0.120102528,232,556,0.417266187
CA,20-07-2020,0.118509798,177,403,0.439205955
CA,27-07-2020,0.114185045,210,555,0.378378378
CA,03-08-2020,0.108271739,231,576,0.401041667
CA,10-08-2020,0.124982291,88,188,0.468085106
CA,17-08-2020,0.110884424,255,663,0.384615385
CA,24-08-2020,0.111916557,249,716,0.347765363
CA,31-08-2020,0.110346935,223,560,0.398214286
CA,07-09-2020,0.137907819,269,510,0.52745098
CA,14-09-2020,0.119854866,188,465,0.404301075
CA,21-09-2020,0.097869068,83,249,0.333333333
CA,28-09-2020,0.082049565,110,401,0.274314214
CA,05-10-2020,0.097339343,114,410,0.27804878
CA,12-10-2020,0.110256782,248,639,0.388106416
CA,19-10-2020,0.090271267,185,624,0.296474359
CA,26-10-2020,0.073124876,216,697,0.30989957
CA,02-11-2020,0.120725804,133,298,0.446308725
CA,09-11-2020,0.106568664,102,319,0.319749216
CA,16-11-2020,0.079353874,114,391,0.291560102
CA,23-11-2020,0.047180135,23,91,0.252747253
CD,27-04-2020,0.03125,2,2,1
CD,01-06-2020,0.030277778,1,5,0.2
CD,22-06-2020,-0.108333333,1,2,0.5
CG,01-06-2020,0.334027778,2,1,2
CG,15-06-2020,0.272727273,1,1,1
CG,20-07-2020,0.130208334,1,1,1
CH,23-03-2020,0.135456731,5,8,0.625
CH,30-03-2020,0.191540404,7,8,0.875
CH,06-04-2020,0.048023908,4,18,0.222222222
CH,13-04-2020,0.03835007,4,39,0.102564103
CH,20-04-2020,0.049449495,5,20,0.25
CH,27-04-2020,0.071130952,3,11,0.272727273
CH,04-05-2020,0.107059229,4,18,0.222222222
CH,11-05-2020,0.120203993,3,9,0.333333333
CH,18-05-2020,0.140913462,6,7,0.857142857
CH,25-05-2020,0.066319445,3,9,0.333333333
CH,01-06-2020,0.2625,4,4,1
CH,08-06-2020,0.142858586,7,8,0.875
CH,15-06-2020,0.169539141,5,5,1
CH,22-06-2020,0.055278055,2,11,0.181818182
CH,29-06-2020,0.201339286,5,5,1
CH,06-07-2020,0.120520382,5,10,0.5
CH,13-07-2020,0.259809219,7,6,1.166666667
CH,20-07-2020,0.041964286,1,6,0.166666667
CH,27-07-2020,0.03264881,2,8,0.25
CH,03-08-2020,0.071527778,2,7,0.285714286
CH,10-08-2020,0.159603174,1,2,0.5
CH,17-08-2020,0.086419594,3,8,0.375
CH,24-08-2020,0.148830857,5,8,0.625
CH,31-08-2020,0.191883117,6,6,1
CH,21-09-2020,0.135277778,1,4,0.25
CH,28-09-2020,0.052083333,1,1,1
CH,12-10-2020,0.228333333,2,4,0.5
CH,02-11-2020,0.376388889,2,1,2
CH,16-11-2020,0.173333333,2,3,0.666666667
CH,23-11-2020,0.366666667,1,2,0.5
CI,12-10-2020,0.15625,2,2,1
CL,04-05-2020,0.076190476,1,6,0.166666667
CL,11-05-2020,0.058333333,1,5,0.2
CL,18-05-2020,0.12,2,3,0.666666667
CL,25-05-2020,0.110130719,3,14,0.214285714
CL,01-06-2020,0.252777778,3,3,1
CL,15-06-2020,0.051939727,3,10,0.3
CL,22-06-2020,0.157222222,3,2,1.5
CL,29-06-2020,0.351639868,4,3,1.333333333
CL,06-07-2020,0.1375,1,3,0.333333333
CL,13-07-2020,0.130555556,3,6,0.5
CL,20-07-2020,0.125,1,5,0.2
CL,27-07-2020,0.276666667,2,3,0.666666667
CL,03-08-2020,0.182591991,3,7,0.428571429
CL,17-08-2020,0.037037037,2,7,0.285714286
CL,24-08-2020,0.146306818,2,4,0.5
CL,31-08-2020,0.307670454,4,4,1
CL,07-09-2020,0.071190476,1,4,0.25
CL,14-09-2020,0.08125,1,3,0.333333333
CL,21-09-2020,0.533333333,2,1,2
CL,28-09-2020,0.282727273,2,3,0.666666667
CL,12-10-2020,0.058297258,4,17,0.235294118
CL,19-10-2020,0.065178571,2,12,0.166666667
CL,02-11-2020,0.184895833,2,2,1
CM,30-03-2020,0.082142857,1,2,0.5
CM,04-05-2020,0.14040404,2,1,2
CM,18-05-2020,0.1,2,2,1
CM,25-05-2020,0.2875,1,1,1
CM,01-06-2020,0.227777778,2,1,2
CM,08-06-2020,0.1125,1,1,1
CM,15-06-2020,0.229924243,1,1,1
CM,07-09-2020,0.23219697,9,2,4.5
CM,28-09-2020,0.083333333,1,2,0.5
CN,23-03-2020,-0.007859848,2,6,0.333333333
CN,30-03-2020,0.077520743,1,7,0.142857143
CN,06-04-2020,0.061458333,1,7,0.142857143
CN,13-04-2020,0.166195436,4,4,1
CN,20-04-2020,-0.134848485,1,8,0.125
CN,27-04-2020,0.173958607,4,7,0.571428571
CN,04-05-2020,0.131447188,10,17,0.588235294
CN,11-05-2020,0.093930187,6,26,0.230769231
CN,18-05-2020,0.178231602,5,10,0.5
CN,25-05-2020,0.090710946,6,26,0.230769231
CN,01-06-2020,0.058941919,3,22,0.136363636
CN,08-06-2020,0.059440837,2,12,0.166666667
CN,15-06-2020,0.115654311,3,13,0.230769231
CN,22-06-2020,0.030680014,3,18,0.166666667
CN,29-06-2020,-0.010049908,2,11,0.181818182
CN,06-07-2020,0.090626722,1,10,0.1
CN,13-07-2020,0.081445543,2,9,0.222222222
CN,20-07-2020,0.122424242,1,4,0.25
CN,27-07-2020,0.045756087,2,19,0.105263158
CN,03-08-2020,0.115692588,4,13,0.307692308
CN,10-08-2020,0.159375,2,2,1
CN,17-08-2020,0.145265152,2,10,0.2
CN,24-08-2020,0.125880772,8,12,0.666666667
CN,31-08-2020,0.086987155,6,21,0.285714286
CN,07-09-2020,0.049563029,4,20,0.2
CN,14-09-2020,0.009291727,1,11,0.090909091
CN,21-09-2020,0.122489177,1,5,0.2
CN,28-09-2020,0.067606812,3,17,0.176470588
CN,05-10-2020,0.073580247,4,5,0.8
CN,12-10-2020,0.165530303,4,8,0.5
CN,19-10-2020,0.138371212,8,16,0.5
CN,26-10-2020,0.129396001,9,19,0.473684211
CN,02-11-2020,0.2543406,2,5,0.4
CN,09-11-2020,0.112119416,4,13,0.307692308
CN,16-11-2020,0.048035714,2,5,0.4
CN,23-11-2020,0.20273569,3,6,0.5
CO,27-04-2020,0.06439394,1,1,1
CO,04-05-2020,-0.143181818,2,4,0.5
CO,11-05-2020,0.188715278,2,2,1
CO,25-05-2020,0.005928571,1,4,0.25
CO,01-06-2020,0.35,1,1,1
CO,08-06-2020,0.23125,2,2,1
CO,22-06-2020,0.190035911,4,7,0.571428571
