,date,location,C8_International travel controls,residential_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,C8_International travel controls_high,C8_International travel controls_low,residential_percent_change_from_baseline_high,residential_percent_change_from_baseline_low,grocery_and_pharmacy_percent_change_from_baseline_high,grocery_and_pharmacy_percent_change_from_baseline_low
0,2020-11-17,Afghanistan,-1.0,1.0,61.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
1,2020-11-17,Angola,-4.0,8.0,1.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
2,2020-11-17,Argentina,0.0,9.779661016949152,-6.918918918918919,-4.0,0.0,34.0,-12.90625,61.0,-40.9
3,2020-11-17,Aruba,-1.0,6.0,-13.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
4,2020-11-17,Australia,0.0,5.3431372549019605,3.6844919786096257,-4.0,0.0,34.0,-12.90625,61.0,-40.9
5,2020-11-17,Austria,0.0,15.35483870967742,-29.22222222222222,-4.0,0.0,34.0,-12.90625,61.0,-40.9
6,2020-11-17,Bahrain,0.0,9.0,-12.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
7,2020-11-17,Bangladesh,0.0,8.0,14.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
8,2020-11-17,Barbados,-2.0,9.0,-18.666666666666668,-4.0,0.0,34.0,-12.90625,61.0,-40.9
9,2020-11-17,Belarus,0.0,3.0,-5.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
10,2020-11-17,Belgium,0.0,14.428571428571429,-7.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
11,2020-11-17,Belize,0.0,15.0,-11.333333333333334,-4.0,0.0,34.0,-12.90625,61.0,-40.9
12,2020-11-17,Benin,0.0,1.6666666666666667,37.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
13,2020-11-17,Bolivia,-1.0,8.84,-4.074074074074074,-4.0,0.0,34.0,-12.90625,61.0,-40.9
14,2020-11-17,Bosnia and Herzegovina,-1.0,3.0,-5.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
15,2020-11-17,Botswana,0.0,5.666666666666667,14.5,-4.0,0.0,34.0,-12.90625,61.0,-40.9
16,2020-11-17,Brazil,0.0,6.47075208913649,13.782663316582914,-4.0,0.0,34.0,-12.90625,61.0,-40.9
17,2020-11-17,Bulgaria,0.0,5.95945945945946,-0.7903225806451613,-4.0,0.0,34.0,-12.90625,61.0,-40.9
18,2020-11-17,Burkina Faso,0.0,-2.6666666666666665,56.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
19,2020-11-17,Cambodia,0.0,7.625,-14.4,-4.0,0.0,34.0,-12.90625,61.0,-40.9
20,2020-11-17,Cameroon,0.0,-0.4166666666666667,3.5714285714285716,-4.0,0.0,34.0,-12.90625,61.0,-40.9
21,2020-11-17,Canada,0.0,8.963917525773196,-5.854054054054054,-4.0,0.0,34.0,-12.90625,61.0,-40.9
22,2020-11-17,Cape Verde,0.0,10.5,-13.5,-4.0,0.0,34.0,-12.90625,61.0,-40.9
23,2020-11-17,Chile,0.0,14.688524590163935,-19.766666666666666,-4.0,0.0,34.0,-12.90625,61.0,-40.9
24,2020-11-17,Colombia,0.0,10.50354609929078,-3.3173076923076925,-4.0,0.0,34.0,-12.90625,61.0,-40.9
25,2020-11-17,Costa Rica,-1.0,13.0,-20.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
26,2020-11-17,Croatia,0.0,3.4761904761904763,16.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
27,2020-11-17,Denmark,0.0,6.468085106382978,-5.626666666666667,-4.0,0.0,34.0,-12.90625,61.0,-40.9
28,2020-11-17,Dominican Republic,0.0,7.666666666666667,-0.2631578947368421,-4.0,0.0,34.0,-12.90625,61.0,-40.9
29,2020-11-17,Ecuador,0.0,15.231884057971014,0.041666666666666664,-4.0,0.0,34.0,-12.90625,61.0,-40.9
30,2020-11-17,Egypt,0.0,0.07142857142857142,40.285714285714285,-4.0,0.0,34.0,-12.90625,61.0,-40.9
31,2020-11-17,El Salvador,0.0,10.636363636363637,-6.75,-4.0,0.0,34.0,-12.90625,61.0,-40.9
32,2020-11-17,Estonia,0.0,4.875,3.6666666666666665,-4.0,0.0,34.0,-12.90625,61.0,-40.9
33,2020-11-17,Fiji,0.0,6.0,3.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
34,2020-11-17,Finland,0.0,6.549295774647887,-3.55,-4.0,0.0,34.0,-12.90625,61.0,-40.9
35,2020-11-17,France,0.0,12.2,-9.818181818181818,-4.0,0.0,34.0,-12.90625,61.0,-40.9
36,2020-11-17,Gabon,0.0,5.5,-13.333333333333334,-4.0,0.0,34.0,-12.90625,61.0,-40.9
37,2020-11-17,Georgia,0.0,11.5,-12.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
38,2020-11-17,Germany,0.0,8.705882352941176,-0.7058823529411765,-4.0,0.0,34.0,-12.90625,61.0,-40.9
39,2020-11-17,Ghana,0.0,10.333333333333334,16.333333333333332,-4.0,0.0,34.0,-12.90625,61.0,-40.9
40,2020-11-17,Greece,0.0,13.75,-6.375,-4.0,0.0,34.0,-12.90625,61.0,-40.9
41,2020-11-17,Guatemala,0.0,11.0,-13.594594594594595,-4.0,0.0,34.0,-12.90625,61.0,-40.9
42,2020-11-17,Haiti,0.0,0.25,-5.666666666666667,-4.0,0.0,34.0,-12.90625,61.0,-40.9
43,2020-11-17,Honduras,-1.0,12.695652173913043,-40.9,-4.0,0.0,34.0,-12.90625,61.0,-40.9
44,2020-11-17,Hungary,0.0,9.571428571428571,2.380952380952381,-4.0,0.0,34.0,-12.90625,61.0,-40.9
45,2020-11-17,India,0.0,6.471698113207547,25.22354948805461,-4.0,0.0,34.0,-12.90625,61.0,-40.9
46,2020-11-17,Indonesia,-3.0,3.057142857142857,2.6,-4.0,0.0,34.0,-12.90625,61.0,-40.9
47,2020-11-17,Iraq,0.0,2.0,39.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
48,2020-11-17,Ireland,0.0,10.73076923076923,0.8461538461538461,-4.0,0.0,34.0,-12.90625,61.0,-40.9
49,2020-11-17,Israel,0.0,11.15,4.3,-4.0,0.0,34.0,-12.90625,61.0,-40.9
50,2020-11-17,Italy,0.0,14.527559055118111,-9.590551181102363,-4.0,0.0,34.0,-12.90625,61.0,-40.9
51,2020-11-17,Jamaica,0.0,10.125,-21.25,-4.0,0.0,34.0,-12.90625,61.0,-40.9
52,2020-11-17,Japan,0.0,3.0208333333333335,0.041666666666666664,-4.0,0.0,34.0,-12.90625,61.0,-40.9
53,2020-11-17,Jordan,0.0,9.6,8.9,-4.0,0.0,34.0,-12.90625,61.0,-40.9
54,2020-11-17,Kazakhstan,0.0,4.0,-6.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
55,2020-11-17,Kenya,0.0,11.5625,7.3125,-4.0,0.0,34.0,-12.90625,61.0,-40.9
56,2020-11-17,Kuwait,0.0,10.0,-16.125,-4.0,0.0,34.0,-12.90625,61.0,-40.9
57,2020-11-17,Laos,0.0,2.0,-4.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
58,2020-11-17,Latvia,-2.0,8.333333333333334,16.4,-4.0,0.0,34.0,-12.90625,61.0,-40.9
59,2020-11-17,Lebanon,0.0,6.962962962962963,3.4583333333333335,-4.0,0.0,34.0,-12.90625,61.0,-40.9
60,2020-11-17,Libya,0.0,-1.0,52.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
61,2020-11-17,Lithuania,-2.0,7.8,17.16,-4.0,0.0,34.0,-12.90625,61.0,-40.9
62,2020-11-17,Luxembourg,-3.0,12.0,-8.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
63,2020-11-17,Malaysia,0.0,16.705882352941178,-11.823529411764707,-4.0,0.0,34.0,-12.90625,61.0,-40.9
64,2020-11-17,Mali,0.0,1.0,5.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
65,2020-11-17,Mauritius,0.0,1.7,-9.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
66,2020-11-17,Mexico,0.0,10.818181818181818,-5.151515151515151,-4.0,0.0,34.0,-12.90625,61.0,-40.9
67,2020-11-17,Moldova,-3.0,-1.0,-8.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
68,2020-11-17,Mongolia,0.0,34.0,-16.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
69,2020-11-17,Morocco,0.0,11.25,11.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
70,2020-11-17,Mozambique,0.0,1.3333333333333333,-12.857142857142858,-4.0,0.0,34.0,-12.90625,61.0,-40.9
71,2020-11-17,Nepal,0.0,9.0,-11.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
72,2020-11-17,Netherlands,0.0,10.303125,0.08677685950413223,-4.0,0.0,34.0,-12.90625,61.0,-40.9
73,2020-11-17,New Zealand,-4.0,1.5625,-3.7333333333333334,-4.0,0.0,34.0,-12.90625,61.0,-40.9
74,2020-11-17,Nicaragua,0.0,13.125,-33.6,-4.0,0.0,34.0,-12.90625,61.0,-40.9
75,2020-11-17,Niger,0.0,-2.6666666666666665,-3.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
76,2020-11-17,Nigeria,0.0,5.834862385321101,-1.1095890410958904,-4.0,0.0,34.0,-12.90625,61.0,-40.9
77,2020-11-17,Norway,-2.0,8.65,2.795918367346939,-4.0,0.0,34.0,-12.90625,61.0,-40.9
78,2020-11-17,Oman,0.0,2.8,-17.6,-4.0,0.0,34.0,-12.90625,61.0,-40.9
79,2020-11-17,Pakistan,0.0,-0.05263157894736842,21.473684210526315,-4.0,0.0,34.0,-12.90625,61.0,-40.9
80,2020-11-17,Panama,-1.0,19.0,-15.5,-4.0,0.0,34.0,-12.90625,61.0,-40.9
81,2020-11-17,Papua New Guinea,0.0,-1.0,28.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
82,2020-11-17,Paraguay,0.0,11.266666666666667,-7.9375,-4.0,0.0,34.0,-12.90625,61.0,-40.9
83,2020-11-17,Peru,0.0,15.41891891891892,-18.419354838709676,-4.0,0.0,34.0,-12.90625,61.0,-40.9
84,2020-11-17,Philippines,0.0,18.46153846153846,-10.5,-4.0,0.0,34.0,-12.90625,61.0,-40.9
85,2020-11-17,Poland,-3.0,10.989389920424403,-4.83625730994152,-4.0,0.0,34.0,-12.90625,61.0,-40.9
86,2020-11-17,Portugal,0.0,9.937984496124031,1.7881355932203389,-4.0,0.0,34.0,-12.90625,61.0,-40.9
87,2020-11-17,Puerto Rico,0.0,11.590909090909092,-18.26530612244898,-4.0,0.0,34.0,-12.90625,61.0,-40.9
88,2020-11-17,Qatar,0.0,4.0,17.5,-4.0,0.0,34.0,-12.90625,61.0,-40.9
89,2020-11-17,Romania,0.0,9.08130081300813,-4.7952755905511815,-4.0,0.0,34.0,-12.90625,61.0,-40.9
90,2020-11-17,Russia,0.0,7.0,-4.117647058823529,-4.0,0.0,34.0,-12.90625,61.0,-40.9
91,2020-11-17,Rwanda,0.0,14.4,-14.6,-4.0,0.0,34.0,-12.90625,61.0,-40.9
92,2020-11-17,Saudi Arabia,0.0,6.642857142857143,-9.642857142857142,-4.0,0.0,34.0,-12.90625,61.0,-40.9
93,2020-11-17,Senegal,0.0,1.8,7.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
94,2020-11-17,Serbia,0.0,7.5,0.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
95,2020-11-17,Singapore,0.0,15.0,0.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
96,2020-11-17,Slovenia,0.0,17.89189189189189,-31.04,-4.0,0.0,34.0,-12.90625,61.0,-40.9
97,2020-11-17,South Africa,0.0,11.1,-8.7,-4.0,0.0,34.0,-12.90625,61.0,-40.9
98,2020-11-17,South Korea,0.0,0.0,6.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
99,2020-11-17,Spain,0.0,7.349206349206349,-2.7777777777777777,-4.0,0.0,34.0,-12.90625,61.0,-40.9
100,2020-11-17,Sri Lanka,0.0,24.0,-24.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
101,2020-11-17,Sweden,0.0,9.81875,-8.323529411764707,-4.0,0.0,34.0,-12.90625,61.0,-40.9
102,2020-11-17,Switzerland,0.0,9.318181818181818,-1.1,-4.0,0.0,34.0,-12.90625,61.0,-40.9
103,2020-11-17,Taiwan,0.0,1.0,4.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
104,2020-11-17,Tajikistan,0.0,1.5,-4.5,-4.0,0.0,34.0,-12.90625,61.0,-40.9
105,2020-11-17,Tanzania,0.0,4.388888888888889,-7.090909090909091,-4.0,0.0,34.0,-12.90625,61.0,-40.9
106,2020-11-17,Thailand,0.0,1.0,4.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
107,2020-11-17,Togo,0.0,10.0,24.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
108,2020-11-17,Trinidad and Tobago,0.0,9.0,3.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
109,2020-11-17,Turkey,0.0,6.804878048780488,15.333333333333334,-4.0,0.0,34.0,-12.90625,61.0,-40.9
110,2020-11-17,Uganda,0.0,8.25,-7.5,-4.0,0.0,34.0,-12.90625,61.0,-40.9
111,2020-11-17,Ukraine,0.0,5.5,0.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
112,2020-11-17,United Arab Emirates,0.0,8.75,-4.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
113,2020-11-17,United Kingdom,0.0,15.055690072639225,-10.33574879227053,-4.0,0.0,34.0,-12.90625,61.0,-40.9
114,2020-11-17,United States,0.0,8.069754464285714,-2.6202860858257475,-4.0,0.0,34.0,-12.90625,61.0,-40.9
115,2020-11-17,Uruguay,0.0,3.7,-5.578947368421052,-4.0,0.0,34.0,-12.90625,61.0,-40.9
116,2020-11-17,Venezuela,0.0,13.0,1.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
117,2020-11-17,Vietnam,0.0,-12.90625,-3.338709677419355,-4.0,0.0,34.0,-12.90625,61.0,-40.9
118,2020-11-17,Yemen,0.0,2.0,41.0,-4.0,0.0,34.0,-12.90625,61.0,-40.9
119,2020-11-17,Zambia,0.0,6.0,5.5,-4.0,0.0,34.0,-12.90625,61.0,-40.9
120,2020-11-17,Zimbabwe,0.0,4.0,21.4,-4.0,0.0,34.0,-12.90625,61.0,-40.9
