iso_code,country,high_risk_factor,low_risk_factor,sources_y
CAN,Canada,0.009185962439476395,0.0,ABW;GRD;HTI;ISR;JAM;JOR;JPN;LCA;MAR;MEX;NLD
COL,Colombia,0.005068637992831542,0.0,ABW;SLV;PRI;PER;PAN
DOM,Dominican Republic,0.01408297502047502,0.0,ABW;TCA;PRI;PER;PAN;NLD
NLD,Netherlands,0.025538159055095343,0.0,ABW;NOR;NLD;NLD;MYS;MLT;MKD;MEX;MAR;KWT;KNA;KEN;KAZ;JPN;JEY;JAM;PAN;ISR;PAN
SUR,Suriname,0.0,0.0,ABW;BRA
USA,United States,0.01347105825861875,0.0,ABW;SEN;HND;HTI;ISR;VEN;JAM;JOR;JPN;KNA;SLV;KWT;LCA;MAR;MEX;MHL;NIC
VEN,"Venezuela, Bolivarian Republic of",0.0058339370613538595,0.0,ABW;PRT;PRI;PER;PAN
AZE,Azerbaijan,0.06154715847651087,0.0,AFG;KAZ;ISR;GEO;GBR
IND,India,0.01577236626465521,0.0,AFG;MYS;MUS;MMR;MDV;OMN;KWT;YEM;JPN
IRN,"Iran, Islamic Republic of",0.014062171905635317,0.0,AFG;TJK;SWE;SAU;OMN;NLD
KWT,Kuwait,0.04247679771087334,0.0,AFG;TUN;THA;SAU;OMN;NLD
PAK,Pakistan,0.014941930316379656,0.0,AFG;THA;SAU;OMN;NPL
TJK,Tajikistan,0.04414874001229256,0.0,AFG;CHN;DEU
TUR,Turkey,0.03460614210233216,0.0,AFG;YEM;JPN;KAZ;KEN;KGZ;KWT;LBN;LBY;MAR;MDV;MKD;MLT;MNE;MYS;NLD;OMN
ARE,United Arab Emirates,0.029909137678578494,0.0,AFG;SYC;SWE;SGP;SEN;IRQ;SDN;JOR;JPN;KAZ;KEN;THA;SAU;LBN;LBY;RWA
BRA,Brazil,0.007719329047593322,0.0,AGO;TGO;SUR;PRY;PRT;PER;PAN
CHN,China,0.014754765220418645,0.0,AGO;KGZ;UZB;LAO;MDV;MEX;MMR;MNG;MNP;MUS;MYS;NLD
COG,Congo,0.0071838423875029145,0.0,AGO;MAR;MAR;KEN
CUB,Cuba,0.04327563518574755,0.0,AGO;PER;PAN;NLD
ETH,Ethiopia,0.013352168800627121,0.0,AGO;UGA;TZA;THA;SWE;SDN;SAU;RWA
FRA,France,0.028061966816885643,0.0,AGO;NER;MYS;MUS;MUS;MRT;MNE;MLT;MLI;MEX;MDG;MDG;MDA;MAR;LUX;LBN;KEN;JPN;NLD;NLD;NOR;OMN
DEU,Germany,0.05075885717288676,0.0,AGO;MLT;MKD;MEX;MDV;MDA;MAR;LUX;LBN;KWT;KEN;KAZ;JPN;VNM;JEY;JAM;MNE;MUS;MYS
KEN,Kenya,0.005158055518661177,0.0,AGO;YEM;TZA;THA;SOM;SAU;RWA;NLD
MAR,Morocco,0.010848763766781984,0.0,AGO;SWE;SEN;SAU;PRT;NLD;MRT;MLI
MOZ,Mozambique,0.08488946280991735,0.0,AGO
NAM,Namibia,0.026980445043830074,0.0,AGO;BWA
PRT,Portugal,0.018503726741380233,0.0,AGO;SWE;SEN;NOR;NLD;MDA;MAR
STP,Sao Tome and Principe,0.0,0.0,AGO
ZAF,South Africa,0.006361676039068116,0.0,AGO;USA;UGA;TZA;THA;SYC;SWZ;SGP
ESP,Spain,0.032663961085140476,0.0,AGO;GNQ;USA;ISR;JOR;LBY;LUX;MAR;MEX;MLT;MRT;NLD;NOR;PER
GBR,United Kingdom,0.031927967556112706,0.0,AGO;MLT;MKD;MEX;MDV;MAR;LUX;LCA;LBY;LBN;KWT;KEN;KAZ;UZB;JOR;JEY;MNE;MUS;MYS
ZWE,Zimbabwe,0.040135246792781035,0.0,AGO;BWA
ATG,Antigua and Barbuda,0.002204394837809557,0.0,AIA;BRB;DOM
PRI,Puerto Rico,0.0,0.0,AIA;ATG;COL
GRC,Greece,0.038840065453639966,0.0,ALB;SWE;POL;NOR;NLD;MLT;MDA;LBN
ITA,Italy,0.027482831416416185,0.0,ALB;UZB;JPN;KWT;LBN;LBY;LUX;MAR;MDA;MDV;MEX;MKD;ISR;MLT;NLD
AFG,Afghanistan,0.06931003217315004,0.0,AZE;KWT
DZA,Algeria,0.008893518249869437,0.0,JOR;MLT;MLI;MAR;LBY;LBN
AGO,Angola,0.015934969516961075,0.0,GBR;BRA;CHN;COG
ARM,Armenia,0.0508596753524135,0.0,BLR;CZE;FRA
AUS,Australia,0.014280528000254769,0.0,NCL;TLS;THA;SLB;SGP;PNG
AUT,Austria,0.0442724645658456,0.0,IRQ;THA;SWE;PRT;NOR;MNE;MLT;LUX;KAZ
BHR,Bahrain,0.03042739426553435,0.0,KWT;SDN;SAU;PHL;OMN
BGD,Bangladesh,0.014565708778692834,0.0,BTN;CHN;GBR;KWT
BLR,Belarus,0.06648851269649335,0.0,ARM;AZE;DEU;FRA
BEL,Belgium,0.03972095492802642,0.0,USA;MKD;MAR;POL;LBR;LBN;KEN;PRT;RWA;SEN;SVN
BRN,Brunei Darussalam,0.02044791016843419,0.0,AUS;CHN
BGR,Bulgaria,0.056255588557136145,0.0,CHE;DEU;ESP;FRA
CYP,Cyprus,0.05800657969370391,0.0,FRA;LBN;MLT;ISR;NLD;POL
CZE,Czechia,0.06373092251787597,0.0,KAZ;SWE;SVN;PRT;NLD;MLT;ISR
DNK,Denmark,0.03860176608916831,0.0,USA;LUX;NLD;JPN;NOR;POL;PRT;SGP;SVN
EGY,Egypt,0.017173118279569893,0.0,ISR;LBY;LBN;KWT;KEN;JOR;OMN;YEM;IRQ
GHA,Ghana,0.010549482785240078,0.0,LBR;CIV;DEU;EGY
HKG,Hong Kong,0.014513023415108964,0.0,KHM;NLD;MYS;MUS;MNG;MMR;MDV;PHL;VNM
HUN,Hungary,0.04467248097977362,0.0,FRA;AZE;NOR;CZE;DEU
IDN,Indonesia,0.001628103150564724,0.0,MYS;TLS;THA;SGP
IRQ,Iraq,0.02290592960574992,0.0,DEU;EGY;GEO
IRL,Ireland,0.02311850819847818,0.0,USA;MDA;JEY;IMN;MLT;NLD;NOR
JPN,Japan,0.013888662442957778,0.0,MMR;USA;THA;SGP;PYF;PNG;PHL;NZL
JOR,Jordan,0.0210943128921271,0.0,YEM;LBY;LBN;KWT;USA;ISR
KAZ,Kazakhstan,0.027658238606182935,0.0,KGZ;TJK;NLD;MYS
LBN,Lebanon,0.02659493862706471,0.0,YEM;KWT;JOR;SAU;IRQ;GHA
LBY,Libya,0.01067349418503732,0.0,DZA;EGY;ESP
MYS,Malaysia,0.03219109738565572,0.0,KWT;THA;SGP;SAU;PHL;NZL;NPL
MDV,Maldives,0.02304552617755209,0.0,CHN;DEU;GBR
MLT,Malta,0.038404456284814724,0.0,ESP;NLD;NOR;TUN;POL;GBR
NPL,Nepal,0.033979301948051946,0.0,CHN;MYS;OMN
NGA,Nigeria,0.013563606194690266,0.0,GNQ;NLD;MLI;LBR;LBN;KEN
OMN,Oman,0.03926271319042403,0.0,TZA;SAU;CHE;EGY
PHL,Philippines,0.011106725019499091,0.0,KHM;THA;SGP;SAU;PNG
POL,Poland,0.03362269735163546,0.0,USA;NLD;GEO;GBR;FRA;NOR;ESP
QAT,Qatar,0.01897964437731704,0.0,THA;NOR;NLD;MYS;MMR;MDV;LBN;KWT;YEM;KEN
ROU,Romania,0.06679212896488709,0.0,PRT;POL;CHE;NOR;CZE
RUS,Russian Federation,0.027585942802634225,0.0,JPN;UZB;KAZ;KGZ;MAR;MDA;MDV;MLT;MNE;MNG;MUS;JOR;NLD
RWA,Rwanda,0.017377703826955075,0.0,BDI;KEN
SAU,Saudi Arabia,0.03883538065572811,0.0,JOR;LBY;LBN;KWT;KEN;YEM;NLD;OMN;PHL
SEN,Senegal,0.008768804847471792,0.0,GIN;MRT;MLI;MAR;GNB
SYC,Seychelles,0.035720299345182414,0.0,DEU;MUS
SGP,Singapore,0.02774356055005175,0.0,LAO;NLD;MYS;MMR;MDV;PHL;VNM;SAU
SOM,Somalia,0.002464968152866242,0.0,DJI
KOR,"Korea, Republic of",0.007538328627417929,0.0,KHM;UZB;LAO;MMR;MNG;MNP;MYS;KEN;NLD
LKA,Sri Lanka,0.017812209925026776,0.0,THA;SGP;CHN;DEU
SDN,Sudan,0.011127958115183247,0.0,EGY;ERI;JOR
SWE,Sweden,0.04743558973164008,0.0,USA;MAR;LUX;NLD;IRQ;NOR;POL;PRT
CHE,Switzerland,0.04376385598022046,0.0,JOR;JPN;KEN;LBN;LUX;MAR;MKD;MLT;MNE;JEY;NLD
TWN,"Taiwan, Province of China",0.007756677206673843,0.0,JPN;THA;SGP;PHL;NLD
TZA,"Tanzania, United Republic of",0.012565924276169267,0.0,COM;EGY;KEN
THA,Thailand,0.018313879636996183,0.0,JOR;NPL;NOR;NLD;MYS;MNG;MMR;MDV;MDG
TUN,Tunisia,0.012972602739726027,0.0,SAU;MLT;CHE;CIV
TKM,Turkmenistan,0.012906770833333333,0.0,AZE;BLR
UGA,Uganda,0.007618501012829169,0.0,EGY;GBR
UKR,Ukraine,0.03737620039338192,0.0,UZB;JOR;NLD;ISR;USA;POL;GEO
UZB,Uzbekistan,0.038237010993917075,0.0,AZE;CHN;CZE;FRA
VNM,Viet Nam,0.004823918444899153,0.0,AUS;CHN;DEU;FRA
YEM,Yemen,0.00852719215791594,0.0,DJI;EGY;ERI
ZMB,Zambia,0.022553493766309073,0.0,BWA;COG
BOL,"Bolivia, Plurinational State of",0.005999999999999999,0.0,ARG;BRA
CHL,Chile,0.002258864101735101,0.0,ARG;PYF;PRY;PER
ECU,Ecuador,0.0030354799015586543,0.0,ARG;BRA;COL
FLK,Falkland Islands (Malvinas),0.0,0.0,ARG
MEX,Mexico,0.00479645981185014,0.0,ARG;PER;PAN;JPN;HND
PAN,Panama,0.003154669260700389,0.0,ARG;SLV;PER;NLD;NLD
PRY,Paraguay,0.0073822945613338615,0.0,ARG;BOL
PER,Peru,0.005924618496047067,0.0,ARG;PRY;PAN;NLD
URY,Uruguay,0.001181659388646288,0.0,ARG;BRA
BRB,Barbados,0.0033835309195770586,0.0,ATG;BRA;GBR
GLP,Guadeloupe,0.004066230265691182,0.0,ATG;DMA
JAM,Jamaica,0.008381035612846843,0.0,ATG;BHS;BRB;CUB
KNA,Saint Kitts and Nevis,0.0,0.0,ATG
LCA,Saint Lucia,0.00224442082890542,0.0,ATG;BRB
TTO,Trinidad and Tobago,0.0025051055139550717,0.0,ATG;DEU;GBR
COK,Cook Islands,0.0,0.0,AUS
TLS,Timor-Leste,0.04498039215686275,0.0,AUS
FJI,Fiji,0.001774725274725275,0.0,AUS;NCL
GUM,Guam,0.004389945652173914,0.0,AUS;JPN
MUS,Mauritius,0.020250638233969064,0.0,AUS;CHN;DEU
NRU,Nauru,0.0,0.0,AUS
NCL,New Caledonia,0.0001793416572077185,0.0,AUS;JPN
NZL,New Zealand,0.004208733624454148,0.0,AUS;CHN;JPN
NFK,Norfolk Island,0.0,0.0,AUS
PNG,Papua New Guinea,0.015742303306727483,0.0,AUS;JPN
SLB,Solomon Islands,0.0007736093143596378,0.0,AUS
VUT,Vanuatu,0.00019762351469668543,0.0,AUS;NCL
HRV,Croatia,0.011471278607289562,0.0,BIH;CHE;CZE;DEU;DNK
GEO,Georgia,0.06850778688524589,0.0,ISR;AZE;BLR;CHN
ISR,Israel,0.06066922143450215,0.0,GEO;NLD;POL;UZB;GBR;FRA;JOR
LUX,Luxembourg,0.04663244795405599,0.0,CHE;DEU;DNK
MNE,Montenegro,0.07580762852404643,0.0,CHE;DEU
NOR,Norway,0.042073930121976424,0.0,USA;CHE;DEU;DNK;ESP;SWE;PRT
SRB,Serbia,0.04975752895752895,0.0,SVN;BIH;CHE;CZE;DEU
LVA,Latvia,0.02464484961820165,0.0,AZE;SWE;POL;NOR;NLD
BFA,Burkina Faso,0.004260421898543446,0.0,BEN;CIV
CMR,Cameroon,0.008142686329214827,0.0,BEN;CAF;CIV;COG
CIV,C̫te d'Ivoire,0.0029581470946769607,0.0,BEN;BFA;CMR
GNQ,Equatorial Guinea,0.02176830525953936,0.0,BEN;CMR
GAB,Gabon,0.006681135225375626,0.0,BEN;CIV
MLI,Mali,0.013872785829307567,0.0,BEN;BFA;CIV
TGO,Togo,0.0,0.0,BEN
BEN,Benin,0.0018321479374110955,0.0,BFA;CIV;CMR
NER,Niger,0.007203821656050956,0.0,BFA;DZA
BTN,Bhutan,0.06799999999999999,0.040999999999999995,IND
MMR,Myanmar,0.00689278079263279,0.0,CHN;JPN;KHM
CYM,Cayman Islands,0.00013391362571141616,0.0,BHS;CUB
TCA,Turks and Caicos Islands,0.00015841584158415842,0.0,BHS;DOM
SVN,Slovenia,0.05659654395191585,0.0,BIH;CZE;DNK
SLV,El Salvador,0.005868152274837512,0.0,BLZ;COL;CRI
ARG,Argentina,0.011364370101766287,0.0,BOL;PRY;PER;PAN
CPV,Cabo Verde,0.0,0.0,BRA;ESP;FRA
GUF,French Guiana,0.0,0.0,BRA
GUY,Guyana,0.016317991631799162,0.0,BRB;JAM
MTQ,Martinique,0.005409836065573771,0.0,BRB;CUB
ABW,Aruba,0.0019376146788990826,0.0,COL;DOM
BHS,Bahamas,0.0035944546517454484,0.0,CUB;CYM
BMU,Bermuda,0.0041089494163424126,0.0,GBR
CRI,Costa Rica,0.0029386392096841523,0.0,COL;DOM;GTM
GRD,Grenada,0.013064599483204134,0.0,LCA;TTO
HTI,Haiti,0.006952561669829222,0.0,DOM;FRA
SPM,Saint Pierre and Miquelon,0.08,0.08,CAN
BIH,Bosnia and Herzegovina,0.09343866943866944,0.0,CHE;DEU
FIN,Finland,0.014741066081054103,0.0,CHE;THA;SWE;SVN;SGP;PRT
MKD,North Macedonia,0.027805567095970086,0.0,CHE;DEU
PYF,French Polynesia,0.0024463262115685253,0.0,JPN;NCL
KHM,Cambodia,0.002149412591625665,0.0,CHN;LAO;MMR
KGZ,Kyrgyzstan,0.03577780354864896,0.0,CHN;KAZ
LAO,Lao People's Democratic Republic,0.0009299424184261037,0.0,CHN;KHM
MAC,Macao,0.0027431215299198028,0.0,CHN;JPN
MNG,Mongolia,0.009449574726609965,0.0,CHN;JPN
PRK,"Korea, Democratic People's Republic of",0.011268292682926829,0.0,CHN
MNP,Northern Mariana Islands,0.0015670945157526257,0.0,CHN
GIN,Guinea,0.0,0.0,CIV;FRA
LBR,Liberia,0.0020204081632653062,0.0,CIV;FRA
SLE,Sierra Leone,0.002463592233009709,0.0,CIV;GBR
CAF,Central African Republic,0.0,0.0,CMR
TCD,Chad,0.007175487465181059,0.0,CMR
GTM,Guatemala,0.0,0.0,COL;CRI
MYT,Mayotte,0.0,0.0,COM
GMB,Gambia,0.0,0.0,CPV;ESP
GNB,Guinea-Bissau,0.0,0.0,CPV
HND,Honduras,0.0,0.0,CRI;CYM
NIC,Nicaragua,0.0,0.0,CRI
LTU,Lithuania,0.04181624282198523,0.0,GEO;CZE;DEU;DNK;ESP
MDA,"Moldova, Republic of",0.15314314314314315,0.0,DEU;FRA;PRT
SVK,Slovakia,0.0457685118619698,0.0,CZE;ESP
ALB,Albania,0.144849331963001,0.0,DEU;GBR
EST,Estonia,0.048142802450229706,0.0,DEU;ESP;FRA
GGY,Guernsey,0.0,0.0,DEU
ISL,Iceland,0.0,0.0,DEU;DNK
JEY,Jersey,0.006352941176470589,0.0,DEU;FRA
VCT,Saint Vincent and the Grenadines,0.0,0.0,DMA
FRO,Faroe Islands,0.0,0.0,DNK
GRL,Greenland,0.0,0.0,DNK
ERI,Eritrea,0.0,0.0,EGY;KEN
SSD,South Sudan,0.0,0.0,EGY
MRT,Mauritania,0.0,0.0,ESP;FRA
ESH,Western Sahara,0.0,0.0,ESP
DJI,Djibouti,0.0028645418326693228,0.0,FRA;KEN
MWI,Malawi,0.08409306260575296,0.0,KEN
TON,Tonga,0.002,0.002,FJI
TUV,Tuvalu,0.002,0.002,FJI
WLF,Wallis and Futuna,0.001,0.0,NCL
MDG,Madagascar,0.008904109589041096,0.0,FRA;FRA
COM,Comoros,0.0,0.0,FRA
DMA,Dominica,0.0,0.0,GBR
GIB,Gibraltar,0.0,0.0,GBR
IMN,Isle of Man,0.003036906854130053,0.0,GBR
PLW,Palau,0.00739232781168265,0.0,JPN
BWA,Botswana,0.0684899193548387,0.0,KEN;NAM
KIR,Kiribati,0.0,0.0,MHL
FSM,"Micronesia, Federated States of",0.0,0.0,MHL
AIA,Anguilla,0.0,0.0,NLD
BDI,Burundi,0.0,0.0,RWA
BLZ,Belize,0.0,0.0,SLV
ASM,American Samoa,0.0,0.0,USA
MHL,Marshall Islands,0.0,0.0,USA
LSO,Lesotho,0.091,0.091,ZAF
SWZ,Eswatini,0.091,0.091,ZAF
